gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
856471,85305,3,0.5,0,2.5,0.5,17,0,0,4,37,1052,2508.5,8458.5,14226,4,3,0,7,2,2,NOT
3945,2194,16.5,22361,0,13.5,0,15,0,0,17.5,1850,8682.5,13420,16967,18724,16,16.5,0,4,3,3,SL
351,7157,346.5,12691523,0,25,0,14.5,0.5,0.5,347.5,5230.5,12283,16112,17903.5,19254.5,2077.5,346.5,1,6,4,4,SL
8883,79677,8,17679,0,5.5,0,15.5,0,0,9,161,4065,10804,15511,17765,11,8,0,26,0,0,SL
3265,10885,69,380012,0,12.5,0,15,0,0,70,1571.5,8061,13208,16617.5,18347,123,69,0,5,1,1,SL
4134,4893,73.5,113072.5,0,12.5,0,15,0,0,74.5,1244,8147,14091,17052,18583.5,116.5,73.5,0,7,1,1,SL
11316,5393,17,7953.5,0,11.5,0,15.5,0,0,18,335.5,5309.5,11503,15871,17793.5,65.5,17,0,11,1,1,SL
9429,3991,5.5,24672,0,4,0,15.5,0,0,6.5,483,4220.5,11019,14796.5,17569,1.5,5.5,0,26,0,0,SL
21,6400,13,16603.5,0,8.5,0,16,0,0,14,932.5,6215.5,11683,15745,17941,22,13,1,8,3,4,SL
56259,91603,11,1126,0,9.5,0,15,0,0,12,323.5,4420,10906,15582,17804,17,11,1,3,6,6,SL
675,6502,66.5,347381,0,19.5,0,14.5,0,0,67.5,2271.5,9474.5,14887,17545,18960,208,66.5,1,10,1,1,SL
25980,3845,208,1745168.5,0,16.5,0,15,0,0,209,1884,8985.5,13626.5,16978.5,18610,309,208,0,6,2,2,SL
2962,6872,28.5,43467.5,0,16,0,15,0,0,29.5,1386.5,8060,14342.5,17245.5,18671,99.5,28.5,1,6,4,4,SL
5984,3364,18.5,14041,0,12.5,0,15,0,0,19.5,1044,7318,12352.5,16580.5,18393.5,50.5,18.5,0,3,8,8,SL
11113,4686,14.5,8585.5,0,10,0,15.5,0,0,15.5,667.5,6470,11756.5,15957,18047,14.5,14.5,0,5,5,5,SL
79980,221120,11,7427.5,0,7,0,16,0,0,12,237.5,4247.5,10516,15220.5,17616.5,34.5,11,0,3,15,18,SL
2271,7268,11,9365.5,0,7,0,16,0,0,12,854.5,6389.5,12450.5,16243.5,18104.5,15.5,11,0,9,1,1,SL
11266,7343,10.5,27858,0,8,0.5,15,0,0,11.5,790.5,5298,11619,16247,18307,17,10.5,0,12,1,1,SL
16973,41995,1.5,166,0,1.5,0.5,18.5,0,0,2.5,16.5,124,1875,5910.5,8415.5,0,1.5,0,5,2,2,NOT
8555,55275,5,6983.5,0,4,0,15.5,0,0,6,353,4509,11843.5,16063.5,17659.5,6,5,0,26,0,0,SL
25679,824641,1,0,0,1,1,18.5,0,0,2,20.5,73.5,190,1039.5,5810,0,1,0,5,6,6,NOT
5243,27297,7,3.5,0,7,0,15.5,0,0,8,99,2499,9468,14489,17491,28,7,0,11,1,1,SL
9879,5707,28.5,36834,0,16.5,0,15,0,0,29.5,692.5,5442,11676,15554,18151.5,357.5,28.5,0,26,0,0,SL
54681,9156,10,3422.5,0,9,0,15.5,0,0,11,546.5,4444,10312,14621,17412.5,16.5,10,0,26,0,0,SL
26973,55577,8,6742,0,5.5,0,15.5,0,0,9,234,4296,11486.5,15784,17784.5,18.5,8,0,4,14,14,SL
199990,853765,8.5,17801.5,0,7,0,15.5,0,0,9.5,905,5048.5,10533,15706,17793,17.5,8.5,0,4,4,4,NOT
54556,56254,23,173257,0,15.5,0,15,0,0,24,1029.5,7666.5,14318.5,17162,18489.5,87,23,1,3,9,9,SL
