gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
851678,856217,34,31219.5,0,14.5,0,16.5,0,0,35,522,3381.5,8954,15082.5,17387,169,34,1,3,36,37
3692,389421,23.5,31528,0,14,0,15,0,0,24.5,904,6478,12364.5,16495.5,18296.5,61.5,23.5,1,7,1,1
4961527,8019,45.5,97745.5,0,15,0,15,0,0,46.5,1160,7291,13545.5,16986.5,18569,130,45.5,1,26,0,0
55620,5777,34,128628.5,0,12,0,16,0,0,35,830,7214,12230,16246,18290,68,34,1,9,1,1
856719,856024,18,4525,0,12.5,0,17,0,0,19,380,2512.5,4875.5,10738,15954,32,18,1,5,1,1
55147,57461,10.5,965,0,8.5,0,15,0,0,11.5,486.5,5184.5,11786,16061.5,18020,29.5,10.5,1,3,2,2
580,10116,38,191310,0,14.5,0,15,0,0,39,1276.5,7554,13887.5,17100,18724.5,77,38,1,4,12,12
2130,59343,44,133419,0,16.5,0,14.5,0,0,45,1711.5,8457.5,13451,16895,18574.5,88.5,44,1,5,4,4
854818,856143,8.5,25423.5,0,5.5,0,17,0,0,9.5,151,1874,5642.5,13226,16604,9,8.5,1,4,1,1
268749,19664,6,29139,0,2.5,0,16,0,0,7,63,582.5,5881,12889.5,16612,5.5,6,1,4,1,1
851115,850720,24,5606,0,14,0,16.5,0,0,25,595,3098.5,6496.5,13862.5,16856,138,24,1,4,2,2
10926,7415,107,1097916.5,0,14,0,15,0,0,108,2333,7897.5,13203.5,16480,18497,402,107,1,11,2,2
1028,23429,26,30177,0,14.5,0,15,0,0,27,900,7427.5,12635,16690,18478,106,26,1,4,3,3
2901,575,4.5,13758.5,0,3,0,16,0,0,5.5,395,2738.5,9143,14451.5,17357.5,0.5,4.5,1,4,5,5
266837,380259,1,0,0,1,1,18.5,0,0,2,86.5,108.5,251.5,1962.5,6762.5,0,1,0,4,5,5
51510,11773,4.5,16910.5,0,3,0,16.5,0,0,5.5,94.5,2095,5795,10265,16027.5,0.5,4.5,0,3,7,7
179902,190051,1.5,11831.5,0.5,1,0.5,9.5,0,0,2.5,8.5,29,100.5,227.5,521,0,1.5,0,10,1,1
5467,854457,7,5297.5,0,6,0.5,16,0,0,8,508.5,3524,7571,10761,15189.5,10,7,0,26,0,0
852499,2542558,13.5,25598.5,0,5,0,19,0,0,14.5,126,1207.5,2726.5,6718,8630.5,20,13.5,0,7,1,1
851304,246538,2,11831.5,0,1.5,0,19.5,0,0,3,8,125.5,1317,3003.5,7058.5,0.5,2,0,5,3,3
64462,2541522,2.5,59153,0,1,0,18.5,0,0,3.5,16.5,784.5,4053,6272,8458,0,2.5,0,7,1,1
15182,853603,11,54233.5,0,6,0,16.5,0,0,12,110.5,1305.5,5367,12134.5,16372.5,14,11,0,3,9,9
20541,178821,2,47321.5,0,1,0.5,19,0,0,3,8,38,64,139,862,0,2,0,9,1,1
7328,2539511,4.5,15400.5,0,2.5,0,17.5,0,0,5.5,55,1489.5,5114,7588,9922.5,0.5,4.5,0,5,9,9
851396,829540,6,31870,0,4.5,0,19,0,0,7,265,1434.5,2769,6770.5,8831,4,6,0,3,10,10
