gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion,gi
8091,12368,7.5,16247,0.5,6,0.5,8,0,0,8.5,618,4116,7348,8683.5,9398,10.5,7.5,0,26,0,0,NOT
6790,55125,46.5,197522.5,0,16.5,0,15.5,0,0,47.5,1460.5,7936.5,13458,16795.5,18505.5,90.5,46.5,0,5,15,18,SL
202559,854766,6,1299,0,5.5,0.5,17,0,0,7,193,3510.5,7431,10918.5,15791,9,6,0,7,1,1,NOT
3791,7374,14,27549.5,0,9.5,0,15.5,0,0,15,600,6819.5,12625,16537,18306.5,9,14,0,26,0,0,SL
16600,19099,2,1569.5,0,2,0,17,0,0,3,67.5,1481,5334.5,7927,10379,0.5,2,0,8,1,1,NOT
947546,187592,2,47320.5,0,1,0,11.5,0,0,3,6.5,9.5,12,17.5,23.5,0,2,0,9,2,3,NOT
854142,2541714,6,27819,0,3.5,0,20,0,0,7,49.5,828,2011.5,4982.5,7853.5,4,6,0,4,8,8,NOT
834412,832243,2.5,30952,0,1.5,0,18,0,0,3.5,14,56.5,991.5,4887.5,9628,0,2.5,0,9,1,1,NOT
5440,114791,14,879.5,0,11.5,0,15.5,0,0,15,168.5,3502.5,10311.5,14841.5,17617,64,14,0,8,2,2,SL
38093,844775,2,0,0,2,0.5,11.5,0,0,3,13.5,27.5,65.5,187.5,434,0.5,2,0,6,3,3,NOT
2968,114791,14.5,2489.5,0,9.5,0,15.5,0,0,15.5,210,3628,10421.5,15060,17651,48,14.5,0,5,7,7,SL
5579,90102,12.5,14068,0,9,0,15,0,0,13.5,1284,7845.5,12947,16646.5,18333,8,12.5,0,11,3,3,NOT
1029,51727,36,98520.5,0,11,0.5,15.5,0,0,37,1448.5,6733,12843.5,16292.5,18119.5,101.5,36,0,3,8,8,SL
841529,11047,18,23651.5,0,13.5,0,8.5,0,0,19,463.5,3874,6798.5,8484,9305.5,151,18,0,4,7,7,NOT
40325,379753,1,0,0,1,1,18,0,0,2,92,156,396,2363,8246,0,1,0,4,4,5,NOT
283987,10013,48,786584,0,10.5,0.5,15.5,0,0,49,1591.5,5701,11231,15043.5,17704,105,48,0,26,0,0,SL
23560,123169,24,29176,0,16,0,15,0,0,25,1157.5,7434.5,13229.5,16817.5,18413,78,24,0,4,2,2,SL
1576,55922,9,15307,0,7,0,15.5,0,0,10,573.5,5822.5,11710,16180.5,18134.5,10,9,0,4,5,5,SL
10988,6119,13.5,6408,0,7.5,0.5,15.5,0,0,14.5,447,4467.5,10720,15659,17881.5,38,13.5,0,10,2,2,SL
55907,123169,8.5,1911.5,0,7.5,0,15,0,0,9.5,411.5,4810.5,11295.5,16140.5,18042,19,8.5,0,4,2,2,SL
10641,22823,9,8883.5,0,7.5,0,15.5,0,0,10,174,2995.5,10151,15142.5,17719,24.5,9,0,26,0,0,SL
3845,8602,197,1741529.5,0,12,0,15.5,0,0,198,1636.5,7396,13178,16663,18328.5,267.5,197,0,7,6,6,SL
2542558,172308,2.5,15213.5,0,1.5,0.5,20,0,0,3.5,9.5,28,83,244.5,495,0.5,2.5,0,10,2,3,NOT
3622,983,52.5,250173.5,0,17,0,14.5,0,0,53.5,1794.5,8241.5,13726.5,17069,18732.5,167.5,52.5,1,3,16,17,SL
22803,11113,15,26171,0,11,0,15.5,0,0,16,1119.5,7638.5,12494,16501.5,18322,11.5,15,0,26,0,0,SL
1026,3156,46.5,204599,0,13.5,0,15,0,0,47.5,1961.5,8357.5,13516,16739.5,18592,160.5,46.5,0,4,3,3,SL
10238,10988,24,58293.5,0,9.5,0.5,15.5,0,0,25,481,4715,10897.5,15770.5,17927.5,64.5,24,0,3,21,21,SL
22803,51362,16.5,27463,0,12,0,15,0,0,17.5,1004.5,6515.5,12092,16271,18152.5,22.5,16.5,0,26,0,0,SL
3845,8536,196,1740903,0,11,0,15.5,0,0,197,1461.5,6595.5,12504.5,15522.5,18122,266.5,196,0,8,6,6,SL
6901,7268,9.5,8933,0,6.5,0,16,0,0,10.5,863,6123.5,12418,16178.5,18183,15.5,9.5,0,12,1,1,SL
51343,8850,106.5,701599,0,20.5,0,14.5,0,0,107.5,2572.5,10298.5,15414,17735,19215,455,106.5,1,7,7,7,SL
23523,2703434,8.5,26531,0,5.5,0,15.5,0,0,9.5,241,3165.5,10070.5,14644,17469.5,9,8.5,0,4,8,9,NOT
2153,472,38,164698,0,10.5,0.5,16,0,0,39,1322,5026,9104.5,13833,16848.5,107.5,38,0,3,9,9,SL
1791,5395,7,1048.5,0,6,0,15,0,0,8,487,5975,12236.5,16312.5,18079.5,9.5,7,0,26,0,0,SL
780,6710,4,913.5,0,4,0,15.5,0,0,5,460,4236,10539,15016,17628.5,0,4,0,6,3,3,SL
85302,269713,4,1510,0,3.5,0.5,16.5,0,0,5,138,2456,8974.5,14053,17090.5,0.5,4,0,4,14,16,NOT
3845,6198,206,1764015.5,0,18,0,14.5,0,0,207,2060,9318,14320,17287,18818,279,206,0,4,6,6,SL
993,1455,16,42539.5,0,12,0,14.5,0,0,17,954,7006,13081,16763.5,18460.5,30,16,0,4,3,3,SL
4843,4882,6.5,8509,0,5,0,9,0,0,7.5,274.5,3321,6727.5,8385,9161.5,1.5,6.5,0,26,0,0,SL
852095,26940,2.5,3,0,2.5,0.5,17.5,0,0,3.5,33.5,707.5,3080,8501,14776,2.5,2.5,0,4,1,1,NOT
83892,9282,25.5,17249,0,18,0,15.5,0,0,26.5,766,6486,13462.5,16878.5,18440.5,235.5,25.5,0,3,13,13,SL
6872,7268,23.5,44774.5,0,13,0,15.5,0,0,24.5,1485,8082.5,14165,17075.5,18587.5,81,23.5,0,12,1,1,SL
2289,825054,29.5,101909.5,0,10.5,0.5,17.5,0,0,30.5,852.5,4636.5,7576,9218.5,10120.5,61.5,29.5,0,3,9,9,NOT
83892,4144,9,29862.5,0,7,0,15.5,0,0,10,641,6022,12490.5,16511.5,18273.5,8,9,0,5,3,3,SL
176536,11199,2.5,11925,0,2,0,16.5,0,0,3.5,71,1506.5,5116,7970.5,11363,0.5,2.5,0,7,1,2,NOT
2543592,7289,18.5,103495,0,7.5,0.5,8.5,0,0,19.5,549,3837.5,6272,8343.5,9268.5,7.5,18.5,0,15,1,1,NOT
29980,79587,4,29,0,4,0,15.5,0,0,5,207,3303.5,10060,14416,17505,5.5,4,0,26,0,0,SL
51112,3184,34.5,40410,0,13.5,0,16,0,0,35.5,1263.5,5033.5,9703.5,14218,16995,145.5,34.5,0,7,4,4,SL
5518,28998,73,437689,0,17,0,15,0,0,74,1704.5,7339,13055,16456.5,18200.5,311.5,73,0,3,4,4,SL
5626,2542239,4.5,240750,0,2,0.5,16,0,0,5.5,133.5,2274,6480,12388.5,17040,4,4.5,0,8,3,4,NOT
4645,176617,4.5,1658.5,0.5,3.5,0.5,8.5,0,0,5.5,110,2216,5411.5,7585.5,8743,2,4.5,0,11,4,4,NOT
25820,83548,25,109413,0,12.5,0,15.5,0,0,26,955.5,5978,12304,15818.5,18120.5,53.5,25,0,6,3,3,SL
9564,4867,22,42210.5,0,10,0,15.5,0,0,23,688,6229.5,12250,16323,18195.5,39,22,0,7,3,4,SL
288,1557,4.5,3680,0,4,0.5,16,0,0,5.5,177.5,3457,9174.5,13482.5,17020.5,0.5,4.5,0,2,10,10,SL
6300,6742,29,62381,0,11.5,0,15.5,0,0,30,797,5441,11063.5,15568.5,17789.5,33,29,0,26,0,0,SL
1937,11130,21,97446,0,11,0,15.5,0,0,22,958,6696,11862.5,16091,18256,41,21,0,6,2,2,SL
246184,22803,20.5,25364.5,0,14,0,15,0,0,21.5,918.5,6565,12353,16526.5,18233,72.5,20.5,0,3,6,6,SL
3845,7428,254.5,3225050,0,20,0,14.5,0,0,255.5,3008.5,10398.5,15196,17597,19117.5,440,254.5,0,8,6,6,SL
23492,7014,25.5,34067,0,16,0,14.5,0,0,26.5,969,7252,13208.5,16926,18506,61.5,25.5,1,9,2,2,SL
80306,8295,50,146433,0,22,0,15,0,0,51,1369,7831.5,13445,16916,18808.5,471,50,0,2,6,7,SL
826907,191679,1.5,0.5,0,1,0.5,1.5,0,0,2.5,16,16,16,16,16,0,1.5,0,3,6,6,NOT
43788,819127,6.5,8027.5,0,5.5,0,19.5,0,0,7.5,37.5,138.5,432,929.5,1581.5,17.5,6.5,0,4,5,5,NOT
573,43835,12.5,21762.5,0,8.5,0.5,17,0,0,13.5,640.5,4340,7399.5,9028.5,10393.5,21,12.5,0,5,4,4,NOT
4528,51147,30,26992,0,13.5,0,15.5,0,0,31,845,6806,13037,16535,18267.5,72,30,0,5,8,9,SL
3385,231332,2,239.5,0,2,0,16.5,0,0,3,51,1241,5108,9480.5,15357,0.5,2,0,8,1,1,NOT
3845,11060,257,1978500.5,0,20,0,15,0,0,258,2631.5,10042,14908,17481,18899.5,409.5,257,0,8,6,6,SL
84527,114793,3,15511,0,2,0,16,0,0,4,35.5,659.5,6948,13013,16551.5,0,3,0,4,4,4,SL
832123,9164882,3,39263.5,0,2.5,0,18,0,0,4,79,964.5,2164,4356,11605,0,3,0,4,3,6,NOT
79269,7157,286.5,11884393,0,17.5,0,14.5,0.5,0.5,287.5,3536,9178,14010.5,17123,18803,1987.5,286.5,0,4,19,20,SL
83892,64983,11.5,1988,0,11,0,16,0,0,12.5,279,3458,10427.5,14468,17349,32.5,11.5,0,4,10,11,SL
914,8883,6,12567.5,0,5,0,16,0,0,7,199.5,4078.5,10678.5,15239.5,17690.5,3.5,6,0,5,21,21,SL
55629,2194,9,4953,0,8,0,15.5,0,0,10,773.5,4585,10851.5,16035.5,17937.5,9,9,0,10,1,1,SL
92105,672,144.5,1431651,0,12.5,0,15,0,0,145.5,2691,8258,13723,16869.5,18658,770.5,144.5,0,5,1,1,SL
55082,6434,17,36442.5,0,11.5,0,14.5,0,0,18,1254,6074.5,11911,16252.5,18199,68,17,1,26,0,0,SL
6135,51164,55,30242,0,23,0,15.5,0,0,56,1164,6877,12826,16510,18293.5,905,55,0,3,28,28,SL
855073,36073,3.5,71.5,0,3,0,18.5,0,0,4.5,16,622,1861,3482.5,7980,4,3.5,0,26,0,0,NOT
3066,217,89.5,263342.5,0,13,0,15,0,0,90.5,1704,7321.5,13171.5,16532.5,18536,586.5,89.5,0,3,10,10,SL
8890,853423,7.5,52172,0,5,0,16,0,0,8.5,903,5124,9121,14933.5,17710.5,9.5,7.5,0,4,6,6,NOT
27085,8663,13.5,5467.5,0,8.5,0,15,0,0,14.5,931.5,6268.5,11939,16105.5,18257,64,13.5,0,9,2,2,SL
5700,7268,37.5,83918.5,0,19,0,15.5,0,0,38.5,1593.5,8362,13940.5,17064.5,18557.5,382.5,37.5,0,12,1,1,SL
55607,32739,3,972,0,3,0,18.5,0,0,4,366,2807,5735,7945,9189,0.5,3,0,6,2,2,NOT
