5728	4763
5728	100
5728	3320
5728	4233
5728	7403
5728	1019
5728	1029
5728	673
7157	3815
6608	3815
123169	57505
51021	57505
64969	57505
29980	26574
8328	26574
6790	22
51360	22
1982	86
6617	86
10054	86
689	55860
54512	55860
11130	55860
476	134637
55814	134637
10054	134637
2271	56985
84844	56985
91746	10939
25847	25847
701	25847
11130	25847
6628	55139
139322	139322
10054	55082
6617	25820
402	402
1982	402
5710	402
10054	402
22803	402
10973	10973
8667	10973
2193	10973
7514	10973
440145	476
51490	498
1345	498
56259	498
1981	498
440574	498
100532736	498
54948	498
64979	498
54460	498
64969	498
64965	498
4702	498
4704	498
4707	498
4708	498
90871	498
440574	515
100532736	515
64969	515
29980	9551
440574	9551
689	537
5393	9550
6432	9550
10054	9550
118472	9550
51755	25814
51001	25814
10054	25814
6790	6790
1314	6790
2960	6790
90850	6790
662	55814
51490	55814
57647	55814
8663	55814
8667	55814
10436	55814
8487	55814
50628	55814
4236	55814
11243	55814
5707	55814
5718	55814
84991	55814
6135	55814
6152	55814
6181	55814
6634	55814
10054	55814
56259	662
6617	662
11113	259282
27085	259282
283579	689
58509	689
832	689
833	689
79577	689
9793	689
23019	689
8663	689
2079	689
54512	689
51026	689
2960	689
3832	689
9361	689
2475	689
4695	689
10204	689
5411	689
5520	689
5718	689
55696	689
60561	689
6134	689
9554	689
81929	689
79753	689
6625	689
6628	689
6728	689
8914	689
55850	689
84833	689
55100	689
80254	701
55035	701
440145	56946
10450	56946
8812	283579
51755	283579
2960	283579
23028	283579
4695	283579
55703	283579
10419	283579
6134	283579
6137	283579
6728	283579
55100	283579
79084	283579
9556	9556
440574	9556
64969	9556
4707	9556
6617	9556
7381	9556
55035	51250
8667	51490
1982	51490
80306	51490
6240	51490
6617	51490
10054	51490
9318	58509
54512	58509
2960	58509
3832	58509
11243	58509
9861	58509
10054	58509
7514	58509
1937	819
81572	819
56259	832
5700	832
10054	832
56259	833
2960	833
5707	833
5718	833
6137	833
6617	833
10054	833
2271	79587
123169	79587
6391	79587
6434	79587
5393	338657
80789	8812
11019	8812
64983	8812
80018	8812
23168	8812
6499	8812
6634	8812
6432	8812
1155	8812
11224	10694
1615	8881
79717	8881
56259	8697
65003	246184
6617	996
56259	51362
1982	51362
6617	51362
9282	79577
5694	79577
10054	79577
9282	55143
348995	55143
9793	983
11316	983
10969	983
50628	983
51184	983
2960	983
51649	983
5707	983
80789	51755
11019	51755
4149	51755
1155	51755
100652748	51755
55125	64105
9512	64105
5718	64105
9232	64105
1982	79019
6617	79019
1982	401541
5710	401541
10054	401541
22995	22995
85459	22995
11130	80254
10054	27243
11224	84916
80789	11113
10081	11113
353497	11113
56259	9793
79717	9793
8328	55907
5520	55907
56259	23019
8328	23019
4149	23019
80306	23019
5718	23019
6617	23019
29928	23019
10054	23019
90850	23019
28958	28958
56259	28958
51360	28958
79717	28958
1854	1314
8663	1314
4682	1314
5520	1314
6134	1314
2960	11316
27085	11316
56259	9318
79717	9318
9039	9318
9039	51138
54680	51138
5718	10987
9039	10987
2271	27235
2271	51241
63931	51241
2271	1345
6134	1345
6617	1345
8663	1350
221150	1350
56259	56259
10540	56259
1763	56259
30836	56259
29980	56259
9130	56259
10056	56259
4144	56259
9282	56259
55090	56259
55035	56259
10204	56259
5424	56259
79717	56259
10450	56259
5695	56259
5707	56259
55696	56259
6161	56259
8295	56259
27229	56259
84240	56259
9439	57703
5710	57703
84447	57703
123169	7818
50628	1615
11128	1615
6617	1615
8664	10238
54512	10540
5393	10540
23272	10540
4707	10540
6137	10540
10054	10540
11130	10540
64983	1723
6617	57647
57410	23405
9554	23405
4707	1743
11224	30836
50628	29980
9440	29980
10531	29980
11243	29980
1982	1854
6135	1854
9861	10969
6617	10969
5707	1937
5710	1937
10054	23167
8664	8893
54512	8893
10726	8893
348995	8893
10054	8893
1982	8663
50628	8663
55035	8663
10726	8663
5710	8663
10285	8663
6617	8663
2475	8664
9918	8664
11137	8664
91746	8664
10436	8667
9130	8667
6873	8667
9039	8667
22803	8667
5707	10480
57107	1973
6617	1973
6873	1973
9039	1973
80306	1981
6873	1981
10436	1982
23404	1982
9130	1982
8487	1982
29889	1982
23560	1982
3735	1982
9361	1982
4141	1982
4236	1982
10135	1982
4695	1982
4802	1982
55239	1982
5230	1982
11243	1982
5422	1982
353497	1982
5520	1982
5888	1982
84991	1982
60561	1982
6134	1982
6135	1982
6122	1982
3921	1982
54908	1982
6873	1982
6434	3692
64763	26610
91603	9694
10204	51234
55703	51234
5422	10436
6617	10436
23335	10436
55954	10436
50628	2079
2960	2079
440145	2079
23404	23404
80789	23404
