V4,V2
405,ARNT
406,BMAL1
406,A0A669KBF4
406,A0A140VKD3
406,B2RCL8
407,ARRC
408,ARRB1
408,B7Z1Q3
409,ARRB2
409,Q68DZ5
409,K7ENA6
409,Q59EM5
410,B4DVI5
410,A0A0C4DFZ2
410,ARSA
421,E9PDC3
421,ARVC
421,C9JJX6
429,ASCL1
432,ASGR1
432,Q6FGQ5
433,Q7Z4G9
433,ASGR2
435,ARLY
435,A0A024RDL8
435,A0A0S2Z316
439,GET3
444,B4DQ07
444,B7ZM96
444,ASPH
445,ASSY
445,Q5T6L4
460,A6H8Y4
460,ASTN1
460,B1AJS1
463,ZFHX3
463,Q8N2Y6
466,ATF1
467,ATF3
468,ATF4
472,A0A024R3C7
472,ATM
473,RERE
474,ATOH1
475,ATOX1
481,A3KLL5
481,AT1B1
483,AT1B3
488,AT2A2
488,A0A0S2Z3L2
490,A0A024RBC7
490,AT2B1
493,AT2B4
493,A0A024R968
498,V9HW26
498,ATPA
501,AL7A1
506,V9HW31
506,ATPB
509,Q8TAS0
509,B4DL14
509,ATPG
513,ATPD
514,ATP5E
518,AT5G3
522,ATP5J
522,Q6IB54
522,Q6NZ59
526,A0A140VK65
526,VATB2
527,VATL
529,VATE1
529,Q53Y06
533,E9PNL3
533,VATO
534,Q6NVJ2
534,VATG2
537,A0A384MQW4
537,VAS1
537,A0A0C4DGX8
538,B4DRW0
538,Q762B6
538,ATP7A
540,B7ZLR3
540,A0A669KB88
540,B7ZLR4
540,A0A024RDX3
540,E7ET55
540,ATP7B
545,ATR
546,B4DLW1
546,ATRX
546,A4LAA3
547,KIF1A
547,A0A3B3ITE5
547,A0A3B3IU40
547,A0A3B3IT28
550,AUP1
551,X5DQP6
551,NEU2
554,V2R
558,M0R0W6
558,UFO
563,ZA2G
563,A0A140VK00
567,B2MG
571,BACH1
572,A0A024R562
572,BAD
573,BAG1
575,AGRB1
576,AGRB2
577,AGRB3
578,BAK
578,A0A0S2Z391
579,NKX32
580,F6MDI2
580,F6MDI0
580,A0AVN2
580,C9IYG1
580,BARD1
580,A0A087WZ19
580,F6MDI1
581,Q5ZPJ0
581,I6LPK7
581,BAX
581,Q5ZPJ1
582,BBS1
583,BBS2
585,A0A0S2Z3A9
585,BBS4
595,Q6FI00
595,CCND1
596,BCL2
596,A0A024R2B3
596,A0A7I2V3S7
596,A0A024R2C4
597,B2LA1
598,A0A0S2Z3C5
598,B2CL1
598,Q5TE63
599,B2CL2
602,B7Z3N9
602,BCL3
604,BCL6
604,B5B0A5
607,BCL9
607,A0A804HIV1
607,A0A804HI55
607,A0A024QYY4
607,Q1JQ81
610,HCN2
613,BCR
624,BKRB2
627,BDNF
627,A0A0E3SU01
631,B7ZAD2
631,BFSP1
631,B7Z999
633,PGS1
633,B4DNL4
634,Q3KRG8
634,CEAM1
636,BICD1
637,B3KT21
637,BID
637,A8ASI8
637,B2ZP79
638,BIK
638,A0A024R4X6
639,Q5T4E8
639,A0A3B3IU23
639,B4DW27
639,PRDM1
640,E9PJX5
640,Q05D26
640,BLK
641,H0YNU5
641,BLM
641,B7ZKN7
642,BLMH
644,BIEA
644,A0A140VJF4
646,B7Z885
646,F5GY04
646,BNC1
650,C8C060
650,BMP2
652,BMP4
652,Q53XC5
654,Q4VBA3
654,B4DUF7
654,BMP6
655,BMP7
655,A8K571
657,BMR1A
658,BMR1B
658,A8KAE3
659,BMPR2
660,BMX
661,RPC4
663,BNIP2
663,J3KN59
664,BNIP3
664,Q6NVY4
665,Q6IBV1
665,BNI3L
667,DYST
667,E9PHM6
667,B4DGY0
667,Q6P0N6
667,F6QMI7
667,B4DSS9
668,FOXL2
668,Q53ZD3
669,PMGE
669,A0A024R782
672,BRCA1
672,A0A024R1V0
673,BRAF
675,BRCA2
677,A0A024R658
677,TISB
677,B3KNA8
682,Q54A51
682,BASI
684,A0A024R7H5
684,BST2
687,A0A024R260
687,KLF9
688,KLF5
688,Q5T6X2
689,BTF3
694,BTG1
694,Q6IBC8
695,Q5JY90
695,BTK
699,BUB1
699,B4DYG2
701,BUB1B
705,BYST
706,O76068
706,TSPO
708,C1QBP
712,C1QA
712,A0A024RAG6
715,C1R
716,F8WCZ6
716,C1S
717,Q53HP3
717,B4DQI1
717,Q5JP69
717,B4DV48
717,Q8N6L6
717,CO2
717,A0A0G2JL69
718,V9HWA9
718,B4DR57
718,CO3
725,C4BPB
727,Q59GS8
727,CO5
728,C5AR1
729,CO6
735,CO9
738,VPS51
741,ZNHI2
752,FMNL1
754,PTTG
754,B4DPZ0
755,CF410
760,CAH2
760,V9HW21
762,CAH4
765,B4DUH8
765,CAH6
767,CAH8
768,A0A0S2Z3D0
768,CAH9
773,B5TYJ1
773,Q9NS89
773,CAC1A
773,A0A087WW63
774,CAC1B
775,A0A0A0MSA1
775,A0A0A0MR67
775,Q5V9X9
775,F5H522
775,Q59GU3
775,A0A804HIJ8
775,CAC1C
775,A0A804HJB6
775,E9PDI6
775,A0A804HI37
775,A0A804HKC4
780,A0A024RCL1
780,Q96T61
780,Q96T62
780,A0A0A0MSX3
780,DDR1
780,A0A024RCQ1
780,A0A024RCJ0
782,CACB1
784,CACB3
785,A0A1B0GTP5
785,A0A1B0GTX8
785,CACB4
785,A0A1B0GTK1
785,H0Y476
790,PYR1
790,F8VPD4
793,CALB1
799,A0A0C4DG16
799,CALCR
800,A0A140VKA0
800,CALD1
801,CALM1
801,CALM2
801,CALM3
801,B4DJ51
