names,degree,betwn,close,core,constraint,ecc,eigen_cen,hub_score,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,leiden,triangle,common_neighbor
6416,19,12288.1704489332,8.3771037001667e-06,13,0.061387785445017,15,0.0170189319054606,0.0170189319054588,20,617,6946,12175,16358,18312,1,23,19
2624,15,17227.1665005264,8.56560396073527e-06,10,0.0745859973409915,14,0.0229915915039039,0.022991591503903,16,802,6945,12291,16611,18588,3,11,15
6118,66,191057.510525616,8.90487809221892e-06,20,0.0245764786687795,15,0.0796781367464064,0.0796781367464018,67,1453,8554,14179,17277,18684,1,158,66
375,19,78086.1048534614,8.44987113946512e-06,10,0.057089864400213,16,0.0304534257232201,0.0304534257232198,20,1582,7362,13319,16619,18207,4,10,19
377,6,1377.25869067551,7.83428911660556e-06,4,0.192279486787062,16,0.00233107692850031,0.00233107692849958,7,87,3456,11474,15841,17691,4,2,6
351,125,1614609.20752758,9.43556452982582e-06,20,0.00952787830403976,15,0.147196860064156,0.147196860064146,126,3663,10542,15346,17511,18878,1,185,125
333,8,6499.46316182621,7.59232264334305e-06,5,0.125,16,0.00232561920415447,0.00232561920415362,9,134,3137,10314,15146,17453,8,0,8
10370,6,13010.578279961,8.30751082053284e-06,6,0.169839784419631,14,0.0130659658586645,0.0130659658586644,7,462,5292,11812,16404,18423,7,2,6
2033,355,21958266.7168259,1.01534181482196e-05,21,0.00489913393951977,13,0.533537655973586,0.533537655973569,356,4680,11347,16155,18297,19910,1,2059,355
338,18,66297.6715770078,8.49812616318102e-06,13,0.0639866103113595,16,0.0399929371120274,0.0399929371120264,19,1673,8243,12519,16391,18277,11,28,18
409,63,344498.913221793,9.17751142600173e-06,20,0.0203425529107088,15,0.110137438477353,0.11013743847735,64,2543,9796,14269,17426,18926,1,137,63
1436,9,386.319774405015,8.05938152306192e-06,8,0.131602671666623,16,0.00906729534508165,0.00906729534508061,10,397,4976,11640,15936,18050,14,17,9
7916,18,15470.9171192962,8.76447233494307e-06,15,0.0615254272458144,15,0.0401687458475855,0.0401687458475862,19,1292,7840,13362,17035,18651,1,21,18
6521,5,7982.66849808202,7.60930770518498e-06,3,0.2,16,0.00256216029041829,0.00256216029041786,6,88,2753,10230,15304,17513,15,0,5
602,19,56661.1543544956,8.72052462676155e-06,15,0.057115563605794,14,0.0414232273133443,0.0414232273133438,20,1122,7511,12609,16819,18767,1,30,19
153,3,1410.97331217842,7.65948972479453e-06,3,0.333333333333333,15,0.00191100472998696,0.0019110047299867,4,128,2509,10124,15169,17714,17,0,3
672,284,2861287.70188521,9.98173342782708e-06,21,0.00548872277562997,14,0.484038179022337,0.48403817902233,285,4669,11351,16026,18062,19559,1,1534,284
421,3,23663,8.00717442828775e-06,2,0.345743928214049,15,0.00558468546888403,0.00558468546888385,4,231,4588,10878,15369,18205,18,1,3
5664,17,40749.6572443044,8.31960598346062e-06,10,0.0779333020101948,15,0.00969061591678701,0.00969061591678527,18,424,5997,12976,16536,18167,19,15,17
825,1,0,7.01100025940701e-06,1,1,16,0.000213198641035856,0.000213198641035745,2,18,547,6891,12637,16583,20,0,1
3708,18,100286.231928839,8.65471162500865e-06,10,0.0624587375417973,15,0.0532888733627604,0.0532888733627618,19,2004,8534,12699,16675,18355,23,14,18
9223,20,100821.637143371,8.34000533760342e-06,10,0.0506186237718582,15,0.012320029372593,0.0123200293725908,21,460,6703,11873,16164,18515,25,3,20
5925,141,4913408.7481245,9.62093515489706e-06,21,0.00997940192387399,14,0.232665139098491,0.232665139098485,142,3265,10523,15620,17779,19269,1,550,141
7251,53,419608.484829421,9.23352508287089e-06,18,0.0263622527724446,14,0.070229909199361,0.0702299091993568,54,2004,9729,14990,17587,19040,27,85,53
4174,43,159215.600539709,9.28117314028493e-06,20,0.0302689514126667,14,0.152953692512083,0.152953692512088,44,3169,9641,14435,17404,18891,1,161,43
8317,15,27957.3585164277,8.29903067321737e-06,11,0.0828027767051869,15,0.0158935344326435,0.0158935344326422,16,400,6097,11996,16487,18200,1,21,15
4999,21,8013.7305675637,8.46790241589256e-06,13,0.0727211105975629,15,0.032873963747221,0.0328739637472201,22,751,7103,12497,16694,18319,1,45,21
10926,8,320.036083189657,7.92600283750902e-06,7,0.165417061157138,15,0.00871544403456512,0.00871544403456448,9,171,4291,10523,15077,17869,1,14,8
10270,11,36047.6101227106,8.70443229692559e-06,10,0.093848184970798,15,0.0389141308050737,0.0389141308050749,12,1126,7532,13269,16984,18576,1,9,11
6117,84,383024.550955103,9.16304726299778e-06,20,0.0207517797886082,15,0.133946973038406,0.133946973038403,85,2322,9617,14925,17492,18820,1,327,84
5001,10,2237.89018040565,7.99622578143117e-06,9,0.158351217339785,15,0.0103158494414237,0.0103158494414233,11,365,4852,10768,15348,17851,28,18,10
4172,36,604228.68240358,9.21047783959032e-06,20,0.0381494496890954,14,0.0931431724527873,0.0931431724527889,37,2613,9189,13890,17388,19151,1,108,36
7534,139,1067396.22409638,9.5935224536393e-06,20,0.0144909570258258,14,0.191141837114021,0.191141837114011,140,3679,10811,15448,17830,19278,29,588,139
9322,13,13561.4001419186,8.30965082847219e-06,9,0.0852672682454076,15,0.00815547333509694,0.00815547333509549,14,359,5725,13155,16592,18118,14,5,13
1033,4,23925.0163099459,8.03722844214401e-06,3,0.25244117410385,15,0.00578479495059333,0.00578479495059307,5,186,4379,11422,16018,18031,4,1,4
5932,33,42081.8724808917,8.92618048736945e-06,19,0.0341714517446201,15,0.0612653254927791,0.0612653254927778,34,1509,8829,14191,17243,18700,1,55,33
