gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
7297,3717,22.5,54315,0,13.5,0,15,0,0,23.5,803.5,7324.5,12974,16566.5,18430,53,22.5,1,2,22,22
7297,2322,7.5,3100,0,7.5,0,15.5,0,0,8.5,367.5,5013,11534,15938.5,17974.5,3.5,7.5,1,3,20,20
25,6795,44,265073.5,0,11.5,0,15.5,0,0,45,1583.5,7790,14108,17038,18509.5,153.5,44,0,2,19,19
25,1263,45.5,266212,0,13,0,15,0,0,46.5,1779,8876,14709.5,17360.5,18629.5,154,45.5,0,3,19,19
25,4683,63.5,286320,0,20,0,14.5,0,0,64.5,2343.5,9720.5,15018.5,17502,18773,249,63.5,0,4,1,1
27,22983,10,5285.5,0,7,0,15.5,0,0,11,618.5,6679,11988,16096.5,18225.5,16,10,0,3,15,15
207,2322,95,805246,0,13.5,0,15,0,0,96,2069,7412.5,13428.5,16875,18607.5,331,95,0,3,19,19
238,84444,12,17107.5,0,9.5,0,15,0,0,13,552.5,6333,12810.5,16559.5,18299.5,9,12,0,4,6,6
238,1263,8.5,16144.5,0,7,0,15,0,0,9.5,700,7060,13956.5,17005,18428,3.5,8.5,0,3,6,6
238,5292,13.5,21411.5,0,11,0,15,0,0,14.5,1059,7719,14029,17057.5,18480.5,9,13.5,0,4,6,6
238,5163,21,38394.5,0,11.5,0,15,0,0,22,738.5,6679,12821,16508,18323.5,49.5,21,0,4,4,5
238,54106,6.5,14768,0,5,0,15.5,0,0,7.5,370,4401,11802.5,16074,17923.5,2,6.5,0,3,6,6
238,2872,7.5,15410,0,6,0,15,0,0,8.5,483.5,5666,12622,16444,18292,2.5,7.5,0,3,3,3
9546,9696,3.5,1330.5,0,3.5,0.5,17,0,0,4.5,128.5,2343.5,6613.5,12113,15196,0,3.5,0,4,3,3
8853,5163,17.5,23681,0,9.5,0,15.5,0,0,18.5,537,5005.5,11194,15525.5,17877.5,49,17.5,0,3,4,5
85300,10272,1.5,7.5,0.5,1.5,0.5,8.5,0,0,2.5,105.5,2464,5715,7923,9045,0,1.5,0,2,74,79
85300,26038,9,328,0,8.5,0,15.5,0,0,10,363,4981.5,11486.5,15968.5,18132,53.5,9,0,2,14,14
6790,84444,43,196971,0,15.5,0,15,0,0,44,1404.5,7930.5,13525.5,16913,18554,69.5,43,0,3,6,6
6790,3716,48.5,216224,0,16.5,0,15,0,0,49.5,1641.5,8857,14414,17204.5,18698.5,77.5,48.5,0,3,8,8
6790,3717,54.5,246209,0,19,0,15,0,0,55.5,1755,9110,14568,17287,18774.5,113.5,54.5,0,2,142,144
6790,7297,41,197367,0,14.5,0,15,0,0,42,1424.5,8071.5,13510,16839.5,18571.5,64.5,41,0,2,27,27
6790,3815,51,246455.5,0,18,0,15,0,0,52,1545,8423.5,13586,16830.5,18551,92.5,51,0,3,18,18
9212,3385,35,162146.5,0,11,0,15.5,0,0,36,1121,5869,11936,15116,17865.5,44.5,35,0,2,36,36
9212,2322,37,162510,0,13,0,15.5,0,0,38,1210,6565,12848,16567.5,18270,45.5,37,0,3,20,20
9212,3383,38,165742.5,0,13.5,0,15,0,0,39,1272,7649.5,12994,16576,18423,44.5,38,0,2,8,8
9212,1263,37,163524,0,13,0,15,0,0,38,1443,8424,14391.5,17267,18633.5,45.5,37,0,2,36,36
9212,7297,38.5,164883,0,14.5,0,15,0,0,39.5,1315.5,7838,13230,16748,18522.5,46,38.5,0,2,27,27
6795,9212,35.5,162385.5,0,11.5,0,15.5,0,0,36.5,1247.5,7338,13790,16944.5,18513.5,45,35.5,0,3,26,26
6795,3385,2.5,239,0,2.5,0,16,0,0,3.5,210.5,3817,11182,14683.5,17561,1.5,2.5,0,2,56,56
6795,1956,187,3422815.5,0,12,0,15.5,0,0,188,2839,8437.5,14464.5,17307,18822,799.5,187,0,2,56,56
6795,2322,4.5,602.5,0,4.5,0,16,0,0,5.5,299.5,4513,12094,16135,17965.5,2.5,4.5,0,3,20,20
6795,3717,19.5,51817.5,0,10.5,0,15.5,0,0,20.5,735.5,6824.5,13534,16763,18421,52,19.5,0,2,56,56
6795,2260,24.5,125203.5,0,10,0,15.5,0,0,25.5,794,7017,13614.5,16931,18552.5,26,24.5,0,3,11,11
6795,84444,8,2579.5,0,7,0,15.5,0,0,9,385,5645,12491.5,16389,18200.5,8,8,0,3,6,6
6795,7297,6,2975.5,0,6,0,15.5,0,0,7,405,5786,12476,16315.5,18218,3,6,0,2,27,27
581,142,79.5,315486.5,0,17,0,14.5,0,0,80.5,2296.5,9658.5,15024,17533,18931,317.5,79.5,0,2,6,6
581,3717,28.5,74564.5,0,15.5,0,15,0,0,29.5,1160,8511,14278,17124,18561.5,63.5,28.5,0,2,6,6
581,6790,47,217616.5,0,16.5,0,15,0,0,48,1781,9258,14814,17397,18703,75,47,0,3,6,6
596,22983,28,186670,0,10.5,0,15.5,0,0,29,1218,7766.5,13367.5,16705,18378.5,40,28,0,2,23,24
596,2261,31.5,208581.5,0,12.5,0,15.5,0,0,32.5,1338.5,8277,14218,17053,18447,41.5,31.5,0,2,17,17
332,11343,11.5,17732.5,0,7,0.5,15.5,0,0,12.5,378,4246.5,11093.5,15109,17626,12.5,11.5,0,3,11,11
332,2322,14,18096,0,9.5,0,15.5,0,0,15,477,5508.5,12489.5,16300.5,18081.5,14,14,0,2,20,20
660,4683,24,24363.5,0,13,0,14.5,0,0,25,1148.5,7507,14151,17087.5,18586,97,24,0,4,1,1
660,1813,9.5,15814,0,6.5,0,15.5,0,0,10.5,313.5,5094.5,12093,15924.5,18084,1,9.5,0,3,10,10
673,2322,23,33699.5,0,13,0,15.5,0,0,24,1088,6564,12947.5,16507.5,18199.5,71,23,0,3,20,20
55643,9696,5,11761,0,4.5,0.5,16.5,0,0,6,425.5,3836.5,8253,12810.5,15533,8.5,5,0,3,3,3
