gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
4193,55670,127,1419218,0,14,0,15.5,0,0,128,2305,6069,11532.5,15096.5,17793,641,127,0,3,17,17
4193,55814,125,1395035,0,13,0.5,15.5,0,0,126,2282,5694.5,7950,9722,13819,640,125,0,2,17,17
4193,80764,126.5,1395245.5,0,14.5,0,14.5,0,0,127.5,2355.5,7380.5,13214,16708.5,18584,640,126.5,0,4,4,5
4193,84135,127.5,1396562.5,0,15.5,0,14.5,0,0,128.5,2724.5,9273.5,14070.5,17167.5,18842.5,642.5,127.5,0,3,17,17
4193,134359,127.5,1395787,0,14,0,15,0,0,128.5,2303,6167,11800,15255,18033.5,640.5,127.5,0,3,8,8
4193,140890,137,1396790,0,21,0,14.5,0,0,138,2596,8950,14293.5,17272,18762,669.5,137,0,2,17,17
6790,23301,37,194630.5,0,10.5,0.5,15.5,0,0,38,1383,6346.5,12703.5,16311,18185,62.5,37,0,3,9,9
6790,84292,42.5,198032.5,0,14,0,15,0,0,43.5,1310,6915.5,12897,16416.5,18269,66.5,42.5,0,3,9,9
6790,114822,38,194878.5,0,11.5,0,15.5,0,0,39,1256,6547,12575,15664.5,17959,63,38,0,3,9,9
7150,84292,30.5,60884.5,0,14.5,0,15,0,0,31.5,1759,7000,12963.5,16384.5,18229.5,113,30.5,0,3,10,10
375,29028,13,40936,0,8.5,0,15.5,0,0,14,1340,7125.5,13409.5,16807.5,18362.5,6,13,0,2,8,8
375,80055,11,39058.5,0,6.5,0,16,0,0,12,1404,6764,12466,16140.5,18046.5,6,11,0,3,5,5
3065,10670,158,1814100,0,13.5,0,15,0,0,159,2078,7156.5,13138.5,16519,18696.5,1048.5,158,0,3,8,8
3065,22879,152,1805779,0,11.5,0,15,0,0,153,2013.5,6714,12505,16177.5,18365.5,1041,152,0,3,8,8
3065,54675,152,1805857.5,0,11.5,0,15,0,0,153,2006.5,6496,12872.5,16633,18665.5,1040.5,152,0,3,8,8
3066,29880,87.5,263123.5,0,11.5,0,15,0,0,88.5,1985,7321,13063.5,16217.5,18403.5,585.5,87.5,0,2,6,6
3066,51534,90,263352,0,13,0,15,0,0,91,1609,5307,10580.5,14768,17706,588,90,0,4,6,6
3066,54675,87.5,263190,0,11.5,0,15,0,0,88.5,1624.5,6164.5,12685,16459.5,18424,585.5,87.5,0,3,6,6
3066,84315,87,263111.5,0,11,0.5,15,0,0,88,1626,6323,12218,15938,18113,585.5,87,0,3,6,6
7150,84337,25,57482.5,0,11,0.5,15,0,0,26,1714,6622.5,12745.5,16308.5,18239.5,109,25,0,4,2,2
9429,64782,3.5,1132.5,0,3.5,0.5,16,0,0,4.5,473.5,3659,7905,13125,16304,1.5,3.5,0,5,1,1
4193,689,136.5,1433359,0,19,0,14.5,0,0,137.5,2947.5,9776,14632.5,17587.5,19149.5,647,136.5,0,3,15,15
79813,841,33,49266.5,0,14.5,0,15.5,0,0,34,1168.5,8176,13734.5,16984,18581.5,85.5,33,0,2,64,66
1813,864,11,20780,0,8,0,15.5,0,0,12,469,5948,12506,16148.5,18188.5,3,11,0,2,6,6
4193,1022,140,1422249,0,21,0,14.5,0,0,141,3079.5,10120,15298.5,17723.5,19090.5,689,140,0,3,6,6
1813,1104,13.5,28120.5,0,9,0,15,0,0,14.5,1101.5,6474,12165,16099.5,18248,12.5,13.5,0,2,6,6
3939,1153,10,9726.5,0,8.5,0,15,0,0,11,1302.5,7460,12880.5,16786,18394,7.5,10,0,3,8,8
4193,1399,148,1439725.5,0,20.5,0,14.5,0,0,149,3201.5,9940,14226,17279,18892,687.5,148,0,4,6,6
7150,2035,27.5,58618.5,0,13.5,0,15,0,0,28.5,1895,7513,14029,16960.5,18465,109.5,27.5,0,2,18,18
4193,3074,125,1395035,0,13,0.5,15,0,0,126,2310.5,6255,12310,16426,18326,640,125,0,3,17,17
5708,3985,36.5,55485.5,0,17,0,15.5,0,0,37.5,1155.5,7438,13645,16879.5,18438.5,401.5,36.5,0,2,3,3
4193,4040,132.5,1440875.5,0,18,0,14.5,0,0,133.5,3176,9781,14056,17175.5,18938.5,646,132.5,0,2,17,17
10038,5720,12.5,13121.5,0,11,0,15.5,0,0,13.5,436.5,5566,11690.5,16046,18091,41.5,12.5,0,3,17,17
29956,26061,6.5,26851.5,0,4,0.5,16.5,0,0,7.5,817,3685,8636,13614,16820,2.5,6.5,0,4,3,3
891,25,70,413262.5,0,20,0,14.5,0,0,71,2461.5,9826,14910,17556.5,18926.5,226,70,0,3,19,19
3939,2879,8.5,9576.5,0,7,0,15.5,0,0,9.5,1028,5534,11477.5,16077.5,17987.5,6,8.5,0,2,63,63
