gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
9971,6601,30.5,30868,0,14,0,15,0,0,31.5,1012,7247,13087.5,16687.5,18509,177.5,30.5,1,10,1,1
6294,79155,40.5,81625,0,17.5,0,15,0,0,41.5,1391,8544.5,13697,17080,18702,51.5,40.5,1,3,8,8
4771,70,52.5,207006,0,17.5,0,15,0,0,53.5,2057,9075.5,13661,17123,18783.5,86,52.5,1,9,1,1
26524,5230,33.5,69559.5,0,17,0,15,0,0,34.5,1445,8696.5,13483,16947,18682,80.5,33.5,1,8,2,2
51185,9031,29.5,75508.5,0,17,0,15,0,0,30.5,1343,8371.5,13877.5,17171,18645,47.5,29.5,1,9,1,1
4292,57649,28,97237,0,14,0,15,0,0,29,940,6541.5,12096,16455,18316,57,28,1,26,0,0
856309,79682,8.5,21358.5,0,4.5,0,17,0,0,9.5,116,2138,6649.5,10012.5,14330,16.5,8.5,0,5,4,4
7153,54870,20,43832.5,0,12,0,15,0,0,21,1679,7424.5,13160,16626.5,18559,54.5,20,0,4,3,3
544213,176378,2,0,0,1.5,0.5,11,0,0,3,5,9.5,23,78.5,139,1,2,0,6,6,7
852686,172236,4.5,89,0.5,4,0.5,9,0,0,5.5,132,1282.5,2362,6046,8255.5,6,4.5,0,6,2,2
853782,6382,8.5,22043,0,6,0,16.5,0,0,9.5,667.5,2983.5,8031.5,14149,17123,23,8.5,0,26,0,0
9212,8833,36.5,177432.5,0,12.5,0,15,0,0,37.5,1581,8599.5,14428,17286,18712.5,45.5,36.5,0,26,0,0
32079,1211,12.5,12339,0.5,7,0.5,8,0,0,13.5,958.5,4281,6261.5,8205.5,9209,21.5,12.5,0,5,5,5
6275,851978,9,23147.5,0,6.5,0,16,0,0,10,522.5,4849.5,9395.5,14297.5,17152,9,9,0,6,1,1
57541,81672,2,13853,0,1.5,0.5,15.5,0,0,3,292.5,3484.5,8650.5,13862.5,16997.5,0,2,0,2,5,5
8440,7222,19,39176,0,7.5,0,16,0,0,20,531.5,4157.5,9198,14127.5,17130.5,29,19,0,9,1,1
855998,7375,26,112089.5,0,15.5,0,15.5,0,0,27,1542,6612,12834.5,16787,18496.5,55,26,0,26,0,0
26270,85376,41.5,379824.5,0,9.5,0.5,15.5,0,0,42.5,715,4613,10679.5,14893.5,17709.5,19,41.5,0,8,6,6
10910,320713,20.5,95599,0,10.5,0,16,0,0,21.5,1196.5,4979.5,10195,15015.5,17670.5,23,20.5,0,4,13,14
3638,380064,6,16995.5,0,4,0.5,16,0,0,7,253,3100.5,6176,9916.5,15476,4,6,0,26,0,0
827062,57403,1.5,1,0,1.5,0.5,19,0,0,2.5,12,99,1759,5188,7531.5,0,1.5,0,5,4,4
817715,851225,1.5,11831.5,0,1,0.5,19,0,0,2.5,32,109,1185,3284.5,7260,0,1.5,0,6,1,1
828263,10462,1,0,0.5,1,1,8.5,0,0,2,94,1285.5,4998.5,7460,8741.5,0,1,0,5,5,6
54550,57534,22,101802.5,0,10,0,16,0,0,23,1117.5,6796.5,12056.5,16234.5,18196,34,22,0,2,15,16
856304,178846,2.5,22206.5,0,2.5,0,17.5,0,0,3.5,134.5,1219,3612.5,7513,9176.5,0.5,2.5,0,26,0,0
10953,843468,4.5,5134,0.5,4,0.5,8.5,0,0,5.5,268,3284.5,6742,8348.5,9115,8,4.5,0,5,2,2
174102,447433,2,4.5,0,1,0.5,9,0,0,3,30.5,724,4135.5,6668.5,8526.5,0,2,0,5,2,2
26574,17932,11,27818,0,9,0.5,16,0,0,12,726,4146.5,7449.5,12694.5,15949,14,11,0,2,17,17
174847,3695,1,0,0,1,1,18,0,0,2,31,669.5,4076,6744,8758.5,0,1,0,6,4,9
26298,11622,2,70974,0,1.5,0,15,0,0,3,109,2960.5,9809.5,14731.5,17582,0.5,2,0,3,14,14
190775,824627,3,23663,0,1.5,0.5,21.5,0,0,4,8,11.5,19.5,39.5,126.5,1,3,0,5,1,1
13207,851640,3,10103.5,0,2,0.5,16.5,0,0,4,32,817.5,3331.5,10628.5,15426.5,0.5,3,0,3,2,2
850782,819244,8,18631.5,0,5,0,19,0,0,9,67.5,1076.5,2165.5,5235.5,8330.5,21.5,8,0,7,1,1
835410,26413,11.5,184746,0,5,0,9,0,0,12.5,71.5,448.5,3057.5,6905,8701,9,11.5,0,3,5,5
64407,850779,2,10.5,0,2,0.5,17,0,0,3,298.5,2372,6790,12789,16550.5,1,2,0,8,2,3
31800,945517,1.5,643.5,0.5,1.5,0.5,10.5,0,0,2.5,15.5,45.5,132.5,378,702,0,1.5,0,5,9,9
856463,853940,20,1068,0,10.5,0,17,0,0,21,695,2902.5,5390,12672,16615.5,144.5,20,0,5,1,1
7546,32133,3.5,44225,0,2,0,17.5,0,0,4.5,93,1209,5154,7768.5,10050.5,0,3.5,0,6,3,3
224619,8563,6,4035.5,0,4,0.5,16,0,0,7,572,3301,5968.5,8943.5,13745,14,6,0,26,0,0
851811,27351,28.5,214160.5,0,8.5,0,15.5,0,0,29.5,1077.5,5142,12374,16339.5,18035,128,28.5,0,26,0,0
174105,7760,1.5,6.5,0.5,1.5,0.5,9,0,0,2.5,11,34.5,749.5,4348,6637.5,0,1.5,0,13,3,4
856899,828481,5,37987.5,0,4,0,18,0,0,6,176.5,1738,5701,8307.5,9521,0,5,0,26,0,0
11160,856689,26.5,47793.5,0,12.5,0,16,0,0,27.5,1117,5294,9435.5,14497,17358,46,26.5,0,5,11,11
840158,176954,10.5,1451172,0,3.5,0.5,18,0,0,11.5,96.5,339.5,691,1503,5358,13,10.5,0,8,4,7
175667,175885,2,70976.5,0,1,0.5,20.5,0,0,3,11,19.5,33,63,124,0,2,0,5,4,5
855888,177111,25.5,159262.5,0,7.5,0,18,0,0,26.5,136.5,1259,2437.5,6029.5,8379,161.5,25.5,0,8,2,2
29883,25416,16,27430,0,7,0,15.5,0,0,17,289,3127,7532,13476.5,16886.5,47,16,0,5,4,6
819707,2539812,1,0,0,1,1,20,0,0,2,5,21.5,91,317.5,1391.5,0,1,0,7,3,3
828602,73274,2.5,51875.5,0,1.5,0.5,16.5,0,0,3.5,23.5,312,3252,10127.5,16062.5,0.5,2.5,0,6,1,1
