gene1,gene2,avgdeg,avgbet,avgclose,avgcore,avgcons,avgecc,avgeigen_cen,avghub_score,avgneighbor1,avgneighbor2,avgneighbor3,avgneighbor4,avgneighbor5,avgneighbor6,avgtriangle,avgcommon_neighbor,comm.detect,shortest_path,cohesion,adhesion
10000,2263,8.5,36946.5,0,6,0,15,0,0,9.5,374,5358,11644,16011,18190.5,1.5,8.5,0,4,3,3
54443,84952,57.5,236180.5,0,9.5,0.5,15.5,0,0,58.5,1154,5938.5,11647,16041,18036.5,82,57.5,0,2,49,49
51107,660,6,3509,0,5.5,0,15.5,0,0,7,281,4566.5,11708.5,15670,17885,5,6,0,3,17,17
51107,1786,30.5,87910.5,0,13,0,15.5,0,0,31.5,1265.5,6441,12567.5,16106,18233,153.5,30.5,0,3,3,3
11016,7155,13,11363,0,12.5,0,15,0,0,14,988,6467,12947,16544.5,18360,24.5,13,0,2,52,53
6790,660,39.5,197508.5,0,13,0,15,0,0,40.5,1408,7862,14274.5,17147.5,18676,63,39.5,0,3,12,12
6790,22983,38,194674,0,11.5,0,15.5,0,0,39,1352.5,7737.5,13390,16745.5,18507,63,38,0,3,12,12
6790,6093,42,215911,0,13,0,15,0,0,43,1501.5,7512,13218.5,16623.5,18448.5,64.5,42,0,4,12,12
6790,6795,38,194869.5,0,11.5,0,15.5,0,0,39,1356.5,7571.5,14070,17036,18562.5,63.5,38,0,3,1,1
9212,10000,36.5,162579,0,12.5,0,15,0,0,37.5,1275.5,7299,13167.5,16781,18503.5,45,36.5,0,3,61,62
9212,6795,35.5,162385.5,0,11.5,0,15.5,0,0,36.5,1247.5,7338,13790,16944.5,18513.5,45,35.5,0,3,1,1
581,1786,38,110265.5,0,17,0,15,0,0,39,1797.5,9137.5,14843.5,17420.5,18811,161.5,38,0,2,3,3
9564,5170,28,50959,0,14,0,15,0,0,29,1114,8243.5,13281.5,16928,18603,44,28,0,3,27,27
332,79789,12,17742,0,7.5,0,15.5,0,0,13,430,4848.5,11564,15151,17676.5,12.5,12,0,3,8,8
660,1019,24,74620.5,0,12.5,0,15,0,0,25,1148.5,7587.5,14139.5,17097,18659.5,47.5,24,0,3,17,17
23476,3815,202.5,3338396.5,0,21.5,0,14.5,0,0,203.5,2610.5,9010,14007,17060.5,18966,1090.5,202.5,0,3,4,4
23476,780,190,3287364,0,15.5,0,14.5,0,0,191,2658.5,8398.5,13698,16818.5,18869.5,1060.5,190,0,4,4,4
23476,115548,192.5,3288097.5,0,18,0,15,0,0,193.5,2748.5,8438.5,13763,16870.5,18856.5,1065.5,192.5,0,3,4,4
699,84952,8.5,19898,0,6,0.5,15.5,0,0,9.5,406,4465,11094,15829.5,18103.5,16,8.5,0,2,57,58
699,6441,8.5,19898,0,6,0.5,8.5,0,0,9.5,328,3265,6047.5,8302,9361,16,8.5,0,2,63,63
800,3159,16,25556,0,10.5,0,15.5,0,0,17,910.5,5944,11855.5,16229.5,18287.5,23.5,16,0,4,8,8
835,55102,6.5,1900.5,0,4.5,0,16,0,0,7.5,143.5,2312,8073,13491.5,16788.5,7.5,6.5,0,2,18,18
83605,51780,4,25511,0,2.5,0.5,16.5,0,0,5,67.5,1701,8707.5,13716.5,17064,0,4,0,3,4,4
898,1793,22.5,53320.5,0,13.5,0,15.5,0,0,23.5,954,7330,12336,16532,18595,45,22.5,0,2,5,5
898,29915,24,47554,0,15,0,15,0,0,25,844,6610,12231.5,16640,18571.5,60,24,0,3,5,5
898,91754,25,78786,0,16.5,0,15,0,0,26,1665,8715.5,13639,17198.5,18827.5,46.5,25,0,4,5,5
977,23476,189.5,3286633,0,14.5,0,15,0,0,190.5,2283.5,6919,12625,15948,18487,1061,189.5,0,2,3,3
977,22983,3,105,0,2.5,0,16,0,0,4,194.5,4213,10490,14903.5,17663,1,3,0,2,27,27
967,22983,3.5,555,0,3.5,0,16,0,0,4.5,208,4651.5,10976.5,15281.5,17827,0.5,3.5,0,3,17,17
967,868,14,18698,0,10,0,15.5,0,0,15,659,5930,11986,15784,18054,36,14,0,3,17,17
975,10762,19.5,46509.5,0,11,0,15,0,0,20.5,733,7299.5,12168,16311,18234.5,23.5,19.5,0,2,3,3
83461,79789,10,43239,0,8,0,16,0,0,11,1109,5243,11100.5,15024,17672.5,9,10,0,4,7,7
83461,23469,9.5,43229.5,0,7.5,0.5,16,0,0,10.5,1044,4635,10463,14758.5,17643.5,9,9.5,0,2,7,7
113130,23277,9.5,5866.5,0,7.5,0,15.5,0,0,10.5,507.5,5576.5,11696.5,16071,18028,19,9.5,0,3,20,21
1019,2260,44,196707,0,18,0,15,0,0,45,1554,9028,14513.5,17404.5,18889.5,72,44,0,3,17,17
1019,22983,22.5,71786,0,11,0,15.5,0,0,23.5,1093,7463,13255,16695,18490.5,47.5,22.5,0,3,17,17
1022,6795,17,27453,0,10,0,15.5,0,0,18,968,7072.5,13894.5,16972.5,18499,50,17,0,4,1,1
1052,22983,5,211.5,0,5,0,15.5,0,0,6,478,5751,11787.5,16110.5,18177.5,2.5,5,0,3,16,17
79172,157310,6.5,3621,0,4.5,0,15.5,0,0,7.5,94.5,2763.5,11089.5,15541,17663,11,6.5,0,2,45,45
10970,1909,28.5,43018.5,0,11,0,15,0,0,29.5,1472.5,6670,11941,16282,18197.5,125.5,28.5,0,4,1,1
10970,10013,74.5,829520.5,0,19.5,0,14.5,0,0,75.5,2934,9916,14095.5,17307.5,18789,230,74.5,0,3,17,17
10970,3717,45,94515,0,18.5,0,15,0,0,46,1916.5,8746,13320,16850,18494,176,45,0,3,10,10
10970,3815,41.5,94761.5,0,17.5,0,15,0,0,42.5,1706.5,8059.5,12338,16393.5,18270.5,155,41.5,0,2,26,26
10970,22983,28.5,42980,0,11,0,15.5,0,0,29.5,1514,7373.5,12142,16308.5,18226.5,125.5,28.5,0,3,26,26
6249,10013,51.5,789649,0,14,0,14.5,0,0,52.5,1852.5,8476.5,13729,17011.5,18722.5,107.5,51.5,0,4,1,1
84342,51666,7,1946.5,0,6.5,0,16.5,0,0,8,132,2455,8591.5,13654,16734,11.5,7,0,3,10,10
51232,7297,5,2736.5,0,5,0.5,15.5,0,0,6,556,5022,11115.5,15342,17855,2,5,0,2,39,39
1410,10695,15,135942,0,7,0.5,15.5,0,0,16,716,5130.5,11877,15959.5,18009,13,15,0,2,11,11
1786,1956,213,3509856,0,21,0,15,0,0,214,3875,10602.5,15528,17854.5,19283.5,947.5,213,0,2,16,17
1786,8569,29.5,87558,0,12.5,0,15,0,0,30.5,1304,6814.5,13162,16717,18595,149.5,29.5,0,4,3,3
84444,1786,34,89620,0,16,0,15,0,0,35,1421,7810,13555,16936.5,18662,156,34,0,2,3,3
1869,5108,110,509804.5,0,18,0,14.5,0,0,111,2024,9125,13979,17193.5,18897.5,307.5,110,0,3,21,21
1869,1901,38,146986.5,0,12,0,15,0,0,39,1280,6834.5,12851,16411,18439.5,115,38,0,3,17,17
1956,2146,245,3754189.5,0,21,0,15,0,0,246,4146,10668,15488,17925,19409,1119.5,245,0,3,8,8
1956,3984,191.5,3436032.5,0,14.5,0,15,0,0,192.5,2837.5,8611,13713.5,16993,18796.5,801.5,191.5,0,3,8,8
1956,22983,187,3422620,0,12,0,15.5,0,0,188,2835,8603.5,13784.5,17016.5,18766.5,799,187,0,3,8,8
1956,84444,192,3424917,0,16,0,15,0,0,193,2887,8796.5,13920,17184,18813.5,805.5,192,0,2,8,8
1956,6469,186,3422576.5,0,11,0.5,15.5,0,0,187,2677,5991.5,10842.5,14761.5,17609,798.5,186,0,3,8,8
8662,9896,22,63834,0,9.5,0,15,0,0,23,1428,5120.5,10531,14846.5,17735.5,100,22,0,2,12,12
2004,10474,20,33356,0,10,0,15,0,0,21,857,5029.5,11456.5,15204,17835.5,115,20,0,3,15,15
1969,207,105,835485,0,19.5,0,14.5,0,0,106,3119,9911,14802,17485,19005,347,105,0,3,10,10
