V1,V2
CTNNBL1,NOL8
CTNNBL1,NUTF2
CTNNBL1,POLD1
CTNNBL1,PPCS
CTNNBL1,PPIE
CTNNBL1,PSMB7
CTNNBL1,PSMD1
CTNNBL1,RBM22
CTNNBL1,RPL32
CTNNBL1,TRRAP
CTNNBL1,TUBGCP4
CTNNBL1,ZCCHC9
CWC22,MED23
CWC22,PSMD4
CWC22,SYVN1
DAP3,LEO1
DARS,GEMIN4
DARS,POLR3A
DARS,SNAPC1
DCAF7,EIF3D
DCTN2,EXOSC4
DCTN2,EXOSC9
DCTN2,FAM208A
DCTN2,NDUFB1
DCTN2,RPL13
DCTN2,UBA2
DCTN2,ZWINT
DHODH,MRPL32
DHX37,SNAPC1
DICER1,SCYL1
DICER1,SEC22B
DLST,NDUFB1
DNTTIP2,RPL35
DONSON,GEMIN4
DONSON,MED17
DONSON,PITRM1
DONSON,PMF1
DUT,EIF4G2
DUT,RPL11
EBNA1BP2,PSMD6
EBNA1BP2,SNAPC1
EEF1G,PSMD1
EEF1G,PSMD4
EFR3A,UBA2
EIF2B5,EIF3D
EIF2B5,EXOSC4
EIF2B5,NUDC
EIF2B5,NUP43
EIF2B5,UBA2
EIF3C,EIF4G2
EIF3C,GEMIN4
EIF3C,NOL8
EIF3C,NUDC
EIF3C,PSMD4
EIF3C,SMNDC1
EIF3C,SNAPC1
EIF3D,MTOR
EIF3D,NCAPD2
EIF3D,PWP1
EIF3D,YTHDC1
EIF3H,EMG1
EIF3H,FAM50A
EIF3H,TAF2
EIF3H,UBA3
EIF3H,XRN2
EIF3M,PSMD1
EIF4A1,PDSS2
EIF4A1,SNAPC1
EIF4A1,TAF2
EIF4A1,UBA3
EIF4G1,MED28
EIF4G1,TAF2
EIF4G2,EMG1
EIF4G2,EXOSC2
EIF4G2,FAM50A
EIF4G2,GEMIN2
EIF4G2,GNL2
EIF4G2,GTPBP4
EIF4G2,KARS
EIF4G2,LONP1
EIF4G2,MARS
EIF4G2,MFAP1
EIF4G2,NAMPT
EIF4G2,NDUFA2
EIF4G2,NFYC
EIF4G2,OGFOD1
EIF4G2,PGK1
EIF4G2,PMF1
EIF4G2,POLA1
EIF4G2,POLN
EIF4G2,PPP2R2A
EIF4G2,RAD51
EIF4G2,RBM17
EIF4G2,RINT1
EIF4G2,RPL10
EIF4G2,RPL11
EIF4G2,RPL3
EIF4G2,RPSA
EIF4G2,SPDL1
EIF4G2,TAF2
EIF6,TRA2B
ELP4,ZNF574
EMC2,ZNF830
EMC4,NUTF2
EMC4,POLR3B
EMG1,POLA1
EMG1,SNAPC1
EMG1,WDR7
EMG1,ZMAT5
ERH,GEMIN4
ERH,GTF2E1
ERH,MZT1
EXOSC2,INTS5
EXOSC2,LARS
EXOSC2,ROMO1
EXOSC4,GTF2E1
EXOSC4,GTF2H4
EXOSC4,NUDC
EXOSC4,POLR3A
EXOSC4,SNAPC1
EXOSC4,UMPS
EXOSC9,NUDC
EXOSC9,OGFOD1
EXOSC9,RPL36A
EXOSC9,RTF1
EXOSC9,ZNF830
FAM208A,GEMIN4
FAM208A,MZT1
FAM208A,RTF1
FAM208A,SKA3
FAM50A,KDM1A
FAM50A,NACA
FAM50A,NCBP1
FAM50A,PPCS
FAM50A,TRRAP
FAM98B,LEO1
FAM98B,RPL28
FAM98B,XRN2
FAM98B,ZNF574
FARSA,PSMD4
FARSA,RPL10
FDPS,MBTPS2
FDPS,NIP7
FDPS,PMVK
FDPS,TAF1A
FDPS,TAF2
FDPS,TRRAP
FH,NDUFA8
FH,NDUFA9
FH,NDUFB1
FH,NDUFB2
FH,PDSS2
FH,GATB
FH,TMEM261
FIP1L1,TAF2
GEMIN2,POLR3B
GEMIN2,SNAPC1
GEMIN2,UBA2
GEMIN2,ZCCHC9
GEMIN4,GFI1B
GEMIN4,MRPS16
GEMIN4,RPL23
GEMIN4,RPL24
GEMIN4,TAF2
GEMIN4,TRA2B
GEMIN4,TTI2
GFER,KDM1A
GFER,MARS
GFER,MRPL19
GFER,NACA
GFER,NUP43
GFER,POLR3B
GFER,PPWD1
GFER,TTC4
GFER,ZCCHC9
GFI1B,RPL36A
GFI1B,SLC35A1
GNL2,RPL35
GNL2,SNAPC1
GNL2,XPO1
GNL3L,GTF2H1
GNL3L,PSMD4
GNL3L,TRA2B
GNPAT,UBA2
GOLT1B,UBA2
GPN3,UBA2
GTF2E1,MZT1
GTF2E1,NUDC
GTF2E1,PFAS
GTF2E1,PPIE
GTF2E1,PPWD1
GTF2E1,PSMB6
GTF2E1,RBM22
GTF2E1,RPL13
GTF2E1,RPL23
GTF2E1,RPP38
GTF2E1,RRM1
GTF2E1,SLC39A9
GTF2E1,SNIP1
GTF2E1,SNRPD3
GTF2E1,UBA2
GTF2E1,YTHDC1
GTF2H1,PHF5A
GTF2H1,RPL35
GTF2H4,KDM1A
GTF2H4,NFYC
GTF2H4,NIP7
GTF2H4,RPL24
GTF2H4,XRN2
GTPBP4,LARS
GTPBP4,MRPS18B
GTPBP4,PITRM1
GTPBP4,SNAPC1
HCCS,NDUFA9
HCCS,NDUFB1
HSCB,PITRM1
HSCB,PMPCB
HSCB,TTC4
HUS1,MTBP
HUS1,XRN2
ICT1,MINOS1
ICT1,MINOS1-NBL1
ICT1,VPS72
IMPDH2,SNAPC1
INTS5,MED1
INTS5,MED22
INTS5,PPP2R1A
INTS5,PSMD4
INTS5,ROMO1
INTS5,TAF2
INTS5,UBA2
KARS,NUDC
KDM1A,MBTPS2
KDM1A,RPL24
KDM1A,SNAPC1
KDM1A,UBA2
KDM1A,XPO1
KDM1A,ZNHIT6
KIF11,PAFAH1B1
KIF14,SNRPG
LARS,MRPL32
LARS,PSMD4
LARS,SNAPC1
LARS,UBA2
LARS2,GATB
LARS2,TFB1M
LEO1,MINOS1
LEO1,MRPL57
LEO1,MRPL10
LEO1,MRPL16
LEO1,MRPL22
LEO1,MRPL24
LEO1,MRPL27
LEO1,MRPL32
LEO1,MRPL33
LEO1,MRPL36
LEO1,MRPL37
LEO1,MRPL39
LEO1,MRPL43
LEO1,MRPS10
LEO1,MRPS14
LEO1,MRPS16
LEO1,MRPS18A
LEO1,MRPS21
LEO1,MRPS23
LEO1,MRPS25
LEO1,MRPS28
LEO1,MRPS35
LEO1,MRPS5
LEO1,MRPS9
LEO1,MTPAP
LEO1,NDUFA8
LEO1,NDUFA9
LEO1,OPA1
LEO1,GATB
LEO1,PTCD1
LEO1,RBFA
LEO1,RPLP2
LEO1,SKIV2L
LEO1,SSBP1
LEO1,TAZ
LEO1,TFB1M
LEO1,TIMM23B
LEO1,UBA2
LEO1,ZNHIT6
LIAS,MED10
LIAS,MED22
LIAS,OGFOD1
LIAS,RPL35
LIAS,RPLP2
LIAS,SEH1L
LIAS,SRSF7
LIAS,TUBGCP3
LIAS,UBA2
LONP1,MED10
LTN1,MCM3AP
MARS,RPL35
MARS,SNAPC1
MASTL,PPP2R1A
MAT2A,RPL35
MAX,MED9
MAX,METAP2
MAX,PPIE
MAX,PSMD6
MAX,PSPH
MAX,SDHC
MBTPS2,MPHOSPH6
MBTPS2,MRPL11
MBTPS2,MRPL18
MBTPS2,NDUFB1
MBTPS2,NIP7
MBTPS2,NUBP1
MBTPS2,OPA1
MBTPS2,POLA1
MBTPS2,PSMD4
MBTPS2,RBBP8
MBTPS2,TIMM22
MBTPS2,TTI2
MBTPS2,XRN2
MCM3,UBA2
MCM3AP,PDCD7
MCM3AP,TBCB
MCM3AP,TCF25
MED1,PSMD6
MED10,PPP2R2A
MED10,PSMD12
MED10,ZNF511
MED14,PPCS
MED14,RPP38
MED17,RPL35
MED17,TBCB
MED22,SGOL1
MED28,NUTF2
MED28,PPCS
MED28,SRP19
MED9,RPA3
MED9,SNAPC1
MED9,TRA2B
MED9,UBA2
METTL17,MRPL11
METTL17,MRPL22
METTL17,NDUFB2
MFAP1,PGK1
MFAP1,PSMD1
MFAP1,PSMD4
MFAP1,TRA2B
MFAP1,UBA2
MINOS1,MRPL57
MINOS1,TIMM22
MINOS1,TIMM9
MINOS1,WDR61
MINOS1-NBL1,MRPL3
MINOS1-NBL1,MRPS14
MINOS1-NBL1,MTERF3
MINOS1-NBL1,TIMM22
MINOS1-NBL1,TIMM9
MPHOSPH6,SNAPC1
MRPL57,MRPL27
MRPL57,MRPS11
MRPL57,MRPS5
MRPL57,GATB
MRPL57,WDR61
MRPL10,MRPL16
MRPL10,MRPL22
MRPL10,MRPL36
MRPL10,MRPL42
MRPL10,MRPS11
MRPL10,MRPS14
MRPL10,MRPS5
MRPL10,GATB
MRPL10,WDR61
MRPL11,MRPS10
MRPL11,TOMM22
MRPL13,WDR61
MRPL18,TAF2
MRPL19,MRPS5
MRPL19,GATB
MRPL22,MRPL36
MRPL22,MRPS11
MRPL22,MRPS16
MRPL22,NDUFB1
MRPL22,NIP7
MRPL22,PSMD1
MRPL22,WDR61
MRPL24,MRPS5
MRPL27,MRPS5
MRPL32,MRPS5
MRPL32,TBCB
MRPL33,WDR61
MRPL36,MRPL42
MRPL36,MRPS21
MRPL36,MRPS35
